Word,Definition,Context
and,,"So they were eating in their rooms before the partially open French windows that gave onto a balcony and a view of a portion of the English Channel, and Chesil Beach with its infinite shingle. "
shingle,,"So they were eating in their rooms before the partially open French windows that gave onto a balcony and a view of a portion of the English Channel, and Chesil Beach with its infinite shingle. "
the,,"Certainly, the thought of Edward's testicles, pendulous below his engorged penis - another horrifying term - had the potency to make her upper lip curl, and the idea of herself being touched 'down there' by someone else, even someone she loved, was as repulsive as, say, a surgical procedure on her eye. "
a,,"In optimistic moments she tried to convince herself that she suffered no more than a heightened form of squeamishness, which was bound to pass. "
squeamishness,,"In optimistic moments she tried to convince herself that she suffered no more than a heightened form of squeamishness, which was bound to pass. "
marquee,,"She knew she should have spoken up long ago, as soon as he proposed, long before the visit to the sincere and soft-voiced vicar, and dinners with their respective parents, before the wedding guests were invited, the gift list devised and lodged with a department store, and the marquee and photographer hired, and all the other irreversible arrangements. "
wayward,,"A ruthless personality, naked opportunism and luck, Edward had argued, could divert the fates of millions, a wayward conclusion that earned him a B minus, almost imperilling his first. "
gnawing,,"An incidental discovery was that even legendary success brought little happiness, only redoubled restlessness, gnawing ambition. "
and,,"When she practised her scales and arpeggios at home she wore an Alice band, an endearing touch that caused him to dream about the daughter they might have one day. "
reticence,,"And she loved him with such intensity, such excruciating physical reticence. "
trifle,,"They also brought sherry trifle and cheddar cheese and mint chocolates, which they arranged on a sideboard. "
the,,"The waiters were arriving with their plates of beef, his piled twice the height of hers. "
swooning,,"To him? - once more sent cool fingers through his lower gut, and he caught himself in a momentary swooning motion which he concealed behind a contented sigh. "
incredulity,,"He was born too late in the century, in 1940, to believe that he was abusing his body, that his sight would be impaired, or that God watched on with stern incredulity as he bent daily to the task. "
Aboukir Bay,,"How extraordinary it was, that a self-made spoonful, leaping clear of his body, should instantly free his mind to confront afresh Nelson's decisiveness at Aboukir Bay. "
decisiveness,,"How extraordinary it was, that a self-made spoonful, leaping clear of his body, should instantly free his mind to confront afresh Nelson's decisiveness at Aboukir Bay. "
coyness,,"He had come to respect it, even revere it, mistaking it for a form of coyness, a conventional veil for a richly sexual nature. "
pavane,,"Their courtship had been a pavane, a stately unfolding, bound by protocols never agreed or voiced, but generally observed. "
still,,"The blimps, still fighting the last war, still nostalgic for its discipline and privations - their time was up. "
privations,,"The blimps, still fighting the last war, still nostalgic for its discipline and privations - their time was up. "
accrued,,"INCOME (OR PROFIT AND LOSS) STATEMENT The Income Statement shows the sales and expenses of a company on an “accrued” basis—that is, when the sale or expense occurs. "
In,,"In predicting the future of this transaction, you feel comfortable and confident giving me your money. "
Lydian,,"n, within my own lifetime, to rank as mighty powers.11 I will pay equal attention to both, for humans and prosperity never endure side by side for long.12 [6] Croesus was a Lydian by birth, the son of Alyattes. "
estranged,,"Of those, a large portion are abducted by one parent estranged from the other, and over fifty percent of the time the child’s whereabouts are never in question. "
loincloth,,"His napkin clung to his waist for a moment, hanging absurdly, like a loincloth, and then wafted to the floor in slow motion. "
assertive,,"He knew well enough she did not like this kind of kissing, and he had never before been so assertive. "
tableau Vivant,,"She understood perfectly that this business with tongues, this penetration, was a small scale enactment, a ritual tableau Vivant, of what was still to come, like a prologue before an old play that tells you everything that must happen. "
droit,,"As she stood waiting for this particular moment to pass, her hands for forms sake resting on Edward's hips, Florence realised she had stumbled across an empty truth, self-evident enough in retrospect, as primal and ancient as danegeld or droit de seigneur, and almost too elemental to define: in deciding to be married, she had agreed to exactly this. "
seigneur,,"As she stood waiting for this particular moment to pass, her hands for forms sake resting on Edward's hips, Florence realised she had stumbled across an empty truth, self-evident enough in retrospect, as primal and ancient as danegeld or droit de seigneur, and almost too elemental to define: in deciding to be married, she had agreed to exactly this. "
danegeld,,"As she stood waiting for this particular moment to pass, her hands for forms sake resting on Edward's hips, Florence realised she had stumbled across an empty truth, self-evident enough in retrospect, as primal and ancient as danegeld or droit de seigneur, and almost too elemental to define: in deciding to be married, she had agreed to exactly this. "
sacristy,,"When she and Edward and their parents had filed back to the gloomy sacristy after the ceremony to sign the register, it was this they had put their names to, and all the rest - the supposed maturity, the confetti and cake - was a polite distraction. "
pinioned,,"She felt pinioned and smothered, she was suffocating, she was nauseous. "
smothered,,"She felt pinioned and smothered, she was suffocating, she was nauseous. "
nauseous,,"She felt pinioned and smothered, she was suffocating, she was nauseous. "
not,,"And she could hear a sound, rising steadily, not in steps like a scale, but in a slow glissando, and not quite a violin or a voice, but somewhere in between, rising and rising unbearably, without ever leaving the audible range, a violin-voice that was just on the edge of making sense, telling her something urgent in sibilants and vowels more primitive than words. "
glissando,,"And she could hear a sound, rising steadily, not in steps like a scale, but in a slow glissando, and not quite a violin or a voice, but somewhere in between, rising and rising unbearably, without ever leaving the audible range, a violin-voice that was just on the edge of making sense, telling her something urgent in sibilants and vowels more primitive than words. "
tinnitus,,"It may have been inside the room, or out in the corridor, or only in her ears, like a tinnitus. "
perverse,,"It was perverse of her, insane even, when she wanted to run from the room, across the gardens and down the lane, onto the beach to sit alone. "
titillating,,"It was titillating to believe they must have brushed past each other at one of those famous, youthful city events, at St Giles' Fair in the first week of September, or May Morning at dawn on the first of the month - a ridiculous and overrated ritual, they both agreed; or while renting a punt at the Cherwell Boat House - though Edward had only ever done it once; or, later in their teens, during illicit drinking at the Turk. "
punt,,"It was titillating to believe they must have brushed past each other at one of those famous, youthful city events, at St Giles' Fair in the first week of September, or May Morning at dawn on the first of the month - a ridiculous and overrated ritual, they both agreed; or while renting a punt at the Cherwell Boat House - though Edward had only ever done it once; or, later in their teens, during illicit drinking at the Turk. "
illicit,,"It was titillating to believe they must have brushed past each other at one of those famous, youthful city events, at St Giles' Fair in the first week of September, or May Morning at dawn on the first of the month - a ridiculous and overrated ritual, they both agreed; or while renting a punt at the Cherwell Boat House - though Edward had only ever done it once; or, later in their teens, during illicit drinking at the Turk. "
ditties,,"His one serious unphysical pastime was listening to music, to the kind of punchy electric blues that turned out to be the true precursor and vital engine of English rock and roll - this music, in his lifelong view, was far superior to the fey three-minute music-hall ditties from Liverpool that were to captivate the world in a few years' time. "
camaraderie,,"Pop music was bland, still coy on the matter, films were a little more explicit, but in Edward's circle the men had to be content with telling dirty jokes, uneasy sexual boasting and boisterous camaraderie driven by furious drinking, which reduced further their chances of meeting a girl. "
cupola,,"She loved the dark seriousness of the place, the faded, peeling walls backstage, the gleaming woodwork and deep red carpet of the entrance hall, the auditorium like a gilded tunnel, the famous cupola over the stage depicting, so she was told, mankind's hunger for the magnificent abstraction of music, with the Genius of Harmony represented as a ball of eternal fire. "
muster,,"This was no less a disability and misfortune than a club foot, or a harelip, but after the relative freedoms of Kensington, Florence was finding home life minutely oppressive and could not muster her sympathies. "
Sousa,,How were they supposed to do as their father demanded and play a Sousa march for him when Ruth pretended that she could not count four beats in a bar? 
scruples,,"She had no scruples about the kind of music she would have to play - no one would be listening - but some instinct, or mere snobbery, convinced her she could not live in or near Croydon. "
cynical,,"She said that the Soviet Union was a cynical tyranny, a cruel and heartless state, responsible for genocide on a scale that even outdid Nazi Germany and for a vast, barely understood network of political prison camps. "
stifling,,"The Soviet Union had trampled on human dignity and basic rights, it was a stifling occupying force in neighbouring lands - Violet had Hungarians and Czechs among her academic friends - and it was expansionist by creed and must be opposed, just as Hitler had been. "
hiking,,"And then the journeys: just the two of them, hiking in the Alps, Sierra Nevada and Pyrenees, and the special treats, the one-night business trips to European cities where she and Geoffrey always stayed in the grandest hotels. "
Pyrenees,,"And then the journeys: just the two of them, hiking in the Alps, Sierra Nevada and Pyrenees, and the special treats, the one-night business trips to European cities where she and Geoffrey always stayed in the grandest hotels. "
vertiginous,,"It was still a novel and vertiginous experience for them, to look for a minute on end into the eyes of another adult, without embarrassment or restraint. "
restraint,,"It was still a novel and vertiginous experience for them, to look for a minute on end into the eyes of another adult, without embarrassment or restraint. "
bumpkin,,'You're such a country bumpkin.' 
impetuous,,"A month ago they had told each other they were in love, and that was both a thrill and afterwards, for her, a cause of one night of half waking, of vague dread that she had been impetuous and let go of something important, given something away that was not really hers to give. "
soporific,,"Now, on the riverbank in the soporific heat of one of the last days of this summer, she concentrated on that moment when he had paused at the entrance to the meeting room, and on what she had seen and felt when she looked in his direction. "
wacky,,"University students being self-consciously wacky, a reminder of how much she longed to be away from this place. "
puerile,,"Even as schoolgirls, she and her friends had regarded the students as an embarrassment, as puerile invaders of their home town. "
suppliants,,She is the Goddess of the Hearth and in every private house and city hall protects suppliants who flee to her for protection. 
dearest,,"Donna Tartt The Secret History   For Bret Easton Ellis, whose generosity will never cease to warm my heart; and for Paul Edward Mc Gloin, muse and Maecenas, who is the dearest friend I will ever have in this world.   "
Maecenas,,"Donna Tartt The Secret History   For Bret Easton Ellis, whose generosity will never cease to warm my heart; and for Paul Edward Mc Gloin, muse and Maecenas, who is the dearest friend I will ever have in this world.   "
philologist,,I enquire now as to the genesis of a philologist and assert the following: 1. 
ravine,,"This was a tale that told itself simply and well: the loose rocks, the body at the bottom of the ravine with a clean break in the neck, and the muddy skidmarks of dug-in heels pointing the way down; a hiking accident, no more, no less, and it might have been left at that, at quiet tears and a small funeral, had it not been for the snow that fell that night; it covered him without a trace, and ten days later, when the thaw finally came, the state troopers and the FBI and the searchers from the town all saw that they had been walking back and forth over his body until the snow above it was pa"
Protean,,"And even each of these sub-categories is itself open to considerable change over time, within this deeply Protean phenomenon. "
Sevastopol,,"The siege of Sevastopol in the mid-1850s during the Crimean War reflected the enlarged scale of warfare which was now rendered possible, the Allies firing 1,350,000 rounds of artillery ammunition during the engagement. "
Crimean,,"The siege of Sevastopol in the mid-1850s during the Crimean War reflected the enlarged scale of warfare which was now rendered possible, the Allies firing 1,350,000 rounds of artillery ammunition during the engagement. "
stalemate,,"Even more dramatically, the development of nuclear weapons (pioneered by the United States) shaped late 20th-century superpower thinking about strategy; a terrifying stalemate emerged, in which these awful weapons were judged too mutually destructive to use after the Second World War. "
First,,"Those adhering to a four-generations paradigm, for instance, set out a strong case for notions of war as divided into the First Generation (horse and musket, Napoleonic wars), the Second Generation (rifle and railway, from the American Civil War until the First World War), the Third Generation (blitzkrieg/fast-manoeuvre warfare), and the Fourth Generation (asymmetric warfare, deploying information technologies; insurgent-focused, involving political-economic-social networks as well as the military; evident in the 21st-century wars in Afghanistan and Iraq). "
musket,,"Those adhering to a four-generations paradigm, for instance, set out a strong case for notions of war as divided into the First Generation (horse and musket, Napoleonic wars), the Second Generation (rifle and railway, from the American Civil War until the First World War), the Third Generation (blitzkrieg/fast-manoeuvre warfare), and the Fourth Generation (asymmetric warfare, deploying information technologies; insurgent-focused, involving political-economic-social networks as well as the military; evident in the 21st-century wars in Afghanistan and Iraq). "
RMA,,"Has a recent Revolution in Military Affairs (RMA), indeed, rendered much ‘modern’ war redundant? "
haranguing,,"All the authority of their chief is in his tongue’s end; for he is powerful insofar as he is eloquent; and, even, if he kills himself talking and haranguing, he will not be obeyed unless he pleases the Savages.6 Why and how did it come to pass that hierarchical class societies arose out of communities that had been broadly egalitarian and enjoyed the freedom of “wild ass colts” for many millennia? "
colts,,"ngue’s end; for he is powerful insofar as he is eloquent; and, even, if he kills himself talking and haranguing, he will not be obeyed unless he pleases the Savages.6 Why and how did it come to pass that hierarchical class societies arose out of communities that had been broadly egalitarian and enjoyed the freedom of “wild ass colts” for many millennia? "
precariousness,,"Rather than the precariousness of hand-to-mouth living, the safety of that surplus on hand meant that communities could settle and grow, and some members of the group could specialize in the production of non-food items. "
BCE,,"Between the third and fourth millennia BCE, towns spread across the globe from Mesopotamia to India to China to Africa. "
insipid,,"Such insipid childishness is every day preached to us in the defense of property.12 The division of society into haves and have-nots did not gently come to pass, and certainly not through the frugalness and intelligence of a small elite. "
threadbare,,"His possessions are meager, a hat, a coat and a stick, a candle stub in a bottle, a wash basin, a threadbare towel, a torn umbrella hanging from the ceiling. "
chenille,,"A few months ago my mother gave me a chenille bedspread, exactly the kind we used to have, and I felt bad that it was still folded up unused and this morning I finally made the bed with it.” "
tufts,,"It’s got those little tufts, in conventional patterns. "
filigree,,"Lace filigree, Aubrey Beardsley, no thank you. "
relevé,,"“And then, at the very top of your relevé, you come into a tissue,” she said. "
perm,,"“Of being in the bathtub, but on the phone with the order-taker from Deliques, who’s got, you know, this nice innocent voice, a mistaken but lovable overfrizzed perm, a hint of twang, bland face, freshly laundered jeans, cute socks, but probably wearing a pair of Deliques finest ‘fusion panties’ with a chevron of lace or something over her mound, which she’s bought at the employee discount, while I’m in my bathtub, which is ridiculous since I never take baths, but I’m in my bathtub moving so carefully so she won’t hear any aquatic splips or splaps and know that I’ve taken the portable phone into the"
twang,,"“Of being in the bathtub, but on the phone with the order-taker from Deliques, who’s got, you know, this nice innocent voice, a mistaken but lovable overfrizzed perm, a hint of twang, bland face, freshly laundered jeans, cute socks, but probably wearing a pair of Deliques finest ‘fusion panties’ with a chevron of lace or something over her mound, which she’s bought at the employee discount, while I’m in my bathtub, which is ridiculous since I never take baths, but I’m in my bathtub moving so carefully so she won’t hear any aquatic splips or splaps and know that I’ve taken the portable phone into the bathroom and tha"
gee,,"And there on the packing slip is the line of printout that says, all in abbreviations, 1 PR PTL TIGHTS, FN, SM, $12.95, and I just thought of her looking at the packing slip and thinking, Well, gee, I suppose I should at least see if they fit.” "
horseradish,,"“Looks at her name, Jill Smith, and then takes the order slip and crumples it against the piece of horseradish in his foulard silk boxer shorts, and he hands it to the next male model, a gorgeous peasant with strange slitty nipples, who smooths it out, studies it, duh, Jill Smith, squeezes his asscheeks together, and passes it to the next guy, who smooths it out, studies it, bites one corner, and hands it to the next guy, and so on down this row of male models, each one broader-shouldered and sinewier-stomached than the last, until finally the order slip gets to the last guy, who’s fallen a"
foulard,,"“Looks at her name, Jill Smith, and then takes the order slip and crumples it against the piece of horseradish in his foulard silk boxer shorts, and he hands it to the next male model, a gorgeous peasant with strange slitty nipples, who smooths it out, studies it, duh, Jill Smith, squeezes his asscheeks together, and passes it to the next guy, who smooths it out, studies it, bites one corner, and hands it to the next guy, and so on down this row of male models, each one broader-shouldered and sinewier-stomached than the last, until finally the order slip gets to the last guy, who’s fallen asleep sitting on on"
bobolinks,,"Well, while he was gone, Todd, Rod, Sod, and Wadd, the other male models, all heterosexual, of course, who’ve been standing in a row waiting for him, have been thinking about Jill Smith wearing those tights and by now their bobolinks have all gotten thoroughly hard, and even the sleepy forklift driver, perhaps because of the faun tights in his lap, is embarrassed to get out because there’s this frank erection that has now gotten so big and bone-hard that it’s angling right out of his codpiece. "
engorgement,,"First I worked myself up to a creditable state of engorgement, then I dialed the 800 number.” "
rapport,,"And right there I knew I’d blown it—I knew the tone of my hello, that slight reediness in my voice that betrayed sexual tension, blew away the potential rapport I might have had with Vulva. "
smother,,I can’t smother an orgasm.” 
stadia,,"In his time it was believed that the universe was enclosed by a crystal sphere to which the fixed stars were attached, and his famous contemporary Aristarchus of Samos, who was an astronomer, estimated the distance from the earth to the periphery of that celestial sphere as 10,000,000,000 stadia or about 1,000,000,000 miles.4 Comparing the size of that sphere with the size of a grain of sand, Archimedes completed a series of calculations that would give a highschool boy nightmares, and finally arrived at this conclusion: “It is evident that the number of grains of sand that"
ought,,"d in Harper’s magazine as saying that I might know a lot about biochemistry but I didn’t know anything about world affairs, and should keep my mouth shut—that there was no justification for me to make pronouncements about world affairs—I didn’t bother to say that I wasn’t a biochemist, but I wrote back saying that if Dean Acheson had studied biochemistry as much as I had studied world affairs, then I would say we ought to listen to what he had to say about biochemistry.” "
fellowship,,"Pauling arrived in Europe on a Guggenheim fellowship just as all this was starting, in March of 1926; he studied for a year in Munich, stayed a few weeks in Copenhagen at Bohr’s institute, and then went for five months to Zurich, where Schrödinger was. "
Guggenheim,,"Pauling arrived in Europe on a Guggenheim fellowship just as all this was starting, in March of 1926; he studied for a year in Munich, stayed a few weeks in Copenhagen at Bohr’s institute, and then went for five months to Zurich, where Schrödinger was. "
jam,,"And so what I had thought of before as just a kind of artistic sloppiness, this attempt to imply that oh yeah, we’re a bunch of endlessly creative folks who jam all night, and the bad old record producer finally has to turn down the volume on us just so we don’t fill the whole album with one monster song, became for me instead this kind of, this kind of summation of hopefulness. "
poolside,,"Anyway, I looked through my brand-new Juggs magazine with high hopes, but I don’t know—again, the sexiest woman was in a poolside setting, and I find poolside settings unerotic—that is to say, in general I find them unerotic, since God knows I’ve certainly come to an enormous number of poolside layouts in magazines, but there’s something about the publicness of its being outside, in the sun—it’s not as bad as a beach setting, which is a complete turnoff—I mean, again, if I were exiled to a desert island with nothing but some pages of a men’s magazine showing a nude woman on a desert island, with the"
pictures,,"after you switch the channel, and you’ll catch this bright yellow torso and one full fran with a fire-engine-red nipple, and then it teeters, it falters, and collapses—and I’ve noticed that the scrambling works least well and you can see things best when nothing is moving in the TV image, i.e., when it’s a TV image of a magazine image, sort of as if the scrambling circuitry is overcome in the same way I am sometimes overcome by the power of fixed pictures. "
report,,“It would look like a fable to report that this gentleman gives away a great fortune by secret methods.” 
ambulatory,,"A Fold-drop is a period of time of variable length during which I am alive and ambulatory and thinking and looking, while the rest of the world is stopped, or paused. "
disparaging,,"I coined the term in the first of my public critiques of philosopher John Searle’s famous Chinese Room thought experiment (Searle, 1980; Dennett, 1980), and some thinkers concluded I meant the term to be disparaging or dismissive. "
custom,,A corrupt practice or custom; offense; crime; fault; as the abuses in the civil service. 
Macaulay,,Macaulay.” 
Shak,,Shak.” 
profound,,"Pertaining to, or resembling, an abyss; bottomless; unending; profound. "
Ernest Renan,,"So too with me during those periods when I wait for the return of my ability to stop time: I think, Why should I read Ernest Renan or learn matrix algebra now, since when I’m able to Drop again, I’ll be able to spend private hours, or even years, satisfying any fleeting intellectual curiosity while the whole world waits for me? "
imperil,,"But I’m careful not to amaze too often and become a temp legend, since this is my great secret and I don’t want to imperil it—this is the one thing that makes my life worth living. "
purports,,"Plato’s cave purports to enlighten us about the nature of perception and reality, and the slave boy is supposed to illustrate our innate knowledge; the evil demon is the ultimate skepticism-generator, and our improvement over the state of nature when we contract to form a society is the point of Hobbes’s parable. "
right,,"When Doug Hofstadter and I composed The Mind’s I back in 1982, he came up with just the right advice on this score: consider the intuition pump to be a tool with many settings, and “turn all the knobs” to see if the same intuitions still get pumped when you consider variations. "
drabness,,There is a good reason for the relentless drabness in the pages of our most serious scientific journals. 
cogency,,The language of mathematics is a reliable enforcer of cogency. 
landlubbers,,"Many sailors enjoy the nautical terms that baffle landlubbers: port and starboard, gudgeon and pintle, shrouds and spreaders, cringles and fairleads, and all the rest. "
preponderant,,merely shows his own preponderant private horror of becoming a dupe. 
dupe,,merely shows his own preponderant private horror of becoming a dupe. 
B,,(B. 
forlorn,,"We have all heard the forlorn refrain “Well, it seemed like a good idea at the time!” "
rueful,,"This phrase has come to stand for the rueful reflection of an idiot, a sign of stupidity, but in fact we should appreciate it as a pillar of wisdom. "
venturesome,,"They tend not to get a whole lot accomplished, but what little they produce is pristine, if not venturesome. "
crowbar,,"“By Parody of Reasoning”: Using Reductio ad Absurdum The crowbar of rational inquiry, the great lever that enforces consistency, is reductio ad absurdum—literally, reduction (of the argument) to absurdity. "
pry,,You take the assertion or conjecture at issue and see if you can pry any contradictions (or just preposterous implications) out of it. 
antlers,,"We do this all the time without bothering to display the underlying logic: “If that’s a bear, then bears have antlers!” "
bête noir,,"On this day, Roger Schank, the director of Yale University’s artificial intelligence laboratory, was the bête noir, and if you went by Chomsky’s version, Schank had to be some kind of flaming idiot. "
You,,You decide. 
smidgen,,Perhaps yet another encounter will bring out better what is problematic about the idea of a smidgen of consciousness in a dish. 
girders,,"(Microtubules are tubular protein chains that serve as girders and highways inside the cytoplasm of all cells, not just neurons.) "
quintillion,,"i.org/10.1007/978-1-4842-8847-4_7 138 Chapter 7 | RF and Wireless Technologies By manipulating these two types of energy – electrical energy and wave energy – humanity manages to create, store, and communicate nearly three quintillion bytes of information every day (Bartley, 2021). "
make,,"We just don’t want to just survive uncertainty, to just about make it. "
good,,"This property is behind everything that has changed with time: evolution, culture, ideas, revolutions, political systems, technological innovation, cultural and economic success, corporate survival, good recipes (say, chicken soup or steak tartare with a drop of cognac), the rise of cities, cultures, legal systems, equatorial forests, bacterial resistance … even our own existence as a species on this planet. "
tartare,,"This property is behind everything that has changed with time: evolution, culture, ideas, revolutions, political systems, technological innovation, cultural and economic success, corporate survival, good recipes (say, chicken soup or steak tartare with a drop of cognac), the rise of cities, cultures, legal systems, equatorial forests, bacterial resistance … even our own existence as a species on this planet. "
preponderates,,"Nonprediction By grasping the mechanisms of antifragility we can build a systematic and broad guide to nonpredictive decision making under uncertainty in business, politics, medicine, and life in general—anywhere the unknown preponderates, any situation in which there is randomness, unpredictability, opacity, or incomplete understanding of things. "
absence,,"Upside at the Expense of Others Which brings us to the largest fragilizer of society, and greatest generator of crises, absence of “skin in the game.” "
wayside,,"My daughter Juliet, then aged six . . . pointed out some flowers by the wayside. "
predisposition,,"Artistic standards are, in this view, nothing more than artefacts of fashion and other cultural accidents, or of individual whim, or of biological predisposition. "
empiricism,,"However, it would be a mistake to dismiss the possibility of objective beauty for that sort of reason, for it is none other than the relic of empiricism that I discussed in Chapter 9 – the assertion that philosophical knowledge in general cannot exist. "
parochial,,"And the reply to that criticism might be, first, that perhaps our arts are merely scratching the surface of what is possible: they are indeed parochial, but they are a first approximation to something universal. "
quasars,,"Or, third, what is the difference between using radio telescopes to understand the physics of quasars and using prosthetic senses (wired into the brain to create new qualia) to appreciate extraterrestrial art? "
qualia,,"Or, third, what is the difference between using radio telescopes to understand the physics of quasars and using prosthetic senses (wired into the brain to create new qualia) to appreciate extraterrestrial art? "
hemlines,,"Was he merely meeting the arbitrary standards of his culture, like the twentieth-century women who carefully adjusted their hemlines each year to conform to the latest fashions? "
suckers,,"Risk management as practiced is the study of an event taking place in the future, and only some economists and other lunatics can claim—against experience—to “measure” the future incidence of these rare events, with suckers listening to them—against experience and the track record of such claims. "
Chartres,,"You can easily tell that your grandmother is more fragile to abrupt changes in temperature than you, that some military dictatorship is more fragile than Switzerland should political change happen, that a bank is more fragile than another should a crisis occur, or that a poorly built modern building is more fragile than the Cathedral of Chartres should an earthquake happen. "
sissy,,"Instead of a discussion of risk (which is both predictive and sissy) I advocate the notion of fragility, which is not predictive—and, unlike risk, has an interesting word that can describe its functional opposite, the nonsissy concept of antifragility. "
Dionysian,,"So thanks to the fragilista, modern culture has been increasingly building blindness to the mysterious, the impenetrable, what Nietzsche called the Dionysian, in life. "
patently,,"Thus I will produce a small number of tricks, directives, and interdicts—how to live in a world we don’t understand, or, rather, how to not be afraid to work with things we patently don’t understand, and, more principally, in what manner we should work with these. "
expedient,,"But their main advantage is that the user knows that they are not perfect, just expedient, and is therefore less fooled by their powers. "
doxastic,,"It is time to revive the not well-known philosophical notion of doxastic commitment, a class of beliefs that go beyond talk, and to which we are committed enough to take personal risks. "
legalese,,"If You See Something Modernity has replaced ethics with legalese, and the law can be gamed with a good lawyer. "
galleys,,"After the mathematical scientist Benoît Mandelbrot read the galleys of The Black Swan, a book dedicated to him, he called me and quietly said: “In what language should I say ‘good luck’ to you?” "
Why,,Why “books”? 
The,,The task here is to build a map of exposures. 
